date,open,high,low,close,volume,market cap
19-Aug-24,58480.71,59612.66,57864.71,59493.45,25911207712,1.17454E+12
18-Aug-24,59468.13,60262.72,58445.4,58483.96,17740625837,1.15452E+12
17-Aug-24,58893.53,59694.67,58814.83,59478.97,13589684021,1.17398E+12
16-Aug-24,57560.27,59847.36,57110.02,58894.1,29350938673,1.16261E+12
15-Aug-24,58733.26,59838.65,56161.59,57560.1,35682112440,1.13627E+12
14-Aug-24,60611.05,61687.76,58472.87,58737.27,29961696180,1.15939E+12
13-Aug-24,59356.21,61572.4,58506.25,60609.57,30327698167,1.19644E+12
12-Aug-24,58719.4,60680.33,57688.9,59354.51,37078637820,1.17164E+12
11-Aug-24,60944.89,61778.66,58348.82,58719.48,22759754812,1.15904E+12
10-Aug-24,60881.23,61464.51,60287.57,60945.81,15745822278,1.20294E+12
09-Aug-24,61728.21,61751.86,59587.86,60880.11,33425553115,1.20166E+12
08-Aug-24,55030.03,62673.76,54766.73,61710.14,45298472567,1.21835E+12
07-Aug-24,56040.63,57726.88,54620.51,55027.46,41637562185,1.08613E+12
06-Aug-24,53991.35,57059.92,53973.27,56034.32,49300484106,1.10605E+12
05-Aug-24,58110.3,58268.83,49121.24,53991.46,1.08991E+11,1.06558E+12
04-Aug-24,60676.09,61062.99,57210.8,58116.98,31758917219,1.14684E+12
03-Aug-24,61414.81,62148.37,59836.53,60680.09,31753030589,1.19746E+12
02-Aug-24,65353.5,65523.22,61184.89,61415.06,43060875727,1.21201E+12
01-Aug-24,64625.84,65593.24,62248.94,65357.5,40975554494,1.28971E+12
31-Jul-24,66201.27,66810.21,64532.05,64619.25,31292785994,1.27532E+12
30-Jul-24,66819.05,66987.67,65323.19,66201.02,31380492109,1.30638E+12
29-Jul-24,68259.05,69987.54,66532.59,66819.92,40780682628,1.31854E+12
28-Jul-24,67808.66,68301.85,67085.83,68255.87,18043166945,1.34686E+12
27-Jul-24,67911.81,69398.51,66705.22,67813.34,34691905492,1.338E+12
26-Jul-24,65771.81,68207.6,65743.77,67912.06,30488630457,1.34001E+12
25-Jul-24,65375.87,66112.42,63473.47,65777.22,38315761670,1.29775E+12
24-Jul-24,65927.86,67113.98,65146.99,65372.13,27470942309,1.2899E+12
23-Jul-24,67584.8,67779.02,65484.46,65927.67,35605668666,1.30076E+12
22-Jul-24,68152.98,68480.06,66611.3,67585.25,42649109453,1.33342E+12
21-Jul-24,67164.91,68372.91,65842.3,68154.52,26652190004,1.34459E+12
20-Jul-24,66709.93,67610.73,66299.62,67163.64,19029581250,1.32506E+12
19-Jul-24,63972.33,67442.64,63329.34,66710.15,37003855410,1.31605E+12
18-Jul-24,64104.74,65104.66,63246.16,63974.07,27239305337,1.26205E+12
17-Jul-24,65091.83,66066.73,63896.09,64118.79,32525071311,1.26488E+12
16-Jul-24,64784.42,65354.34,62487.97,65097.15,41617346768,1.28414E+12
15-Jul-24,60815.46,64870.15,60704.93,64870.15,38094526099,1.27964E+12
14-Jul-24,59225.25,61329.53,59225.25,60787.79,22223416061,1.19876E+12
13-Jul-24,57908.74,59787.08,57796.44,59231.95,17080061806,1.16807E+12
12-Jul-24,57341.19,58532.55,56590.17,57899.47,25604805221,1.14179E+12
11-Jul-24,57729.89,59299.43,57120.38,57344.91,28707803842,1.13084E+12
10-Jul-24,58033.88,59359.43,57178.41,57742.49,26175260526,1.13867E+12
09-Jul-24,56704.6,58239.2,56316.88,58009.23,27849512607,1.14393E+12
08-Jul-24,55849.57,58131.34,54321.02,56705.1,39766159899,1.11821E+12
07-Jul-24,58239.43,58371.12,55793.33,55849.11,20553359505,1.10132E+12
06-Jul-24,56659.08,58472.55,56038.96,58303.54,20610320577,1.14972E+12
05-Jul-24,57022.81,57497.15,53717.38,56662.37,55417544033,1.11736E+12
04-Jul-24,60147.14,60399.67,56777.8,56977.7,41149609230,1.12357E+12
03-Jul-24,62034.33,62187.7,59419.39,60173.92,29756701685,1.18659E+12
02-Jul-24,62844.41,63203.36,61752.75,62029.02,20151616992,1.22317E+12
01-Jul-24,62673.61,63777.23,62495.51,62851.98,25468379421,1.23939E+12
30-Jun-24,60888.45,62892.83,60632.95,62678.29,17333226409,1.23594E+12
29-Jun-24,60319.87,61097.62,60300.97,60887.38,12652903396,1.20061E+12
28-Jun-24,61612.81,62126.1,59985.4,60320.14,24952866877,1.18941E+12
27-Jun-24,60811.23,62293.86,60585.33,61604.8,21231745045,1.21472E+12
26-Jun-24,61789.68,62434.14,60695.19,60811.28,22506003064,1.19904E+12
25-Jun-24,60266.28,62258.26,60239.75,61804.64,29201215431,1.21859E+12
24-Jun-24,63173.35,63292.53,58601.7,60277.41,43152133651,1.18845E+12
23-Jun-24,64248.96,64491.7,63180.8,63180.8,11170471802,1.24566E+12
22-Jun-24,64113.86,64760.36,63960.03,64252.58,9858198793,1.26676E+12
21-Jun-24,64837.99,65007.55,62785.53,64096.2,26188171739,1.26366E+12
20-Jun-24,64960.3,66438.96,64547.85,64828.66,25641109124,1.27808E+12
19-Jun-24,65146.66,65695.35,64693.3,64960.3,21103423504,1.28066E+12
18-Jun-24,66490.98,66556.7,64066.96,65140.74,39481285950,1.2842E+12
17-Jun-24,66636.52,67188.32,65094.96,66490.29,30006354476,1.31077E+12
16-Jun-24,66189.36,66894.84,66018.25,66639.05,13281140541,1.31367E+12
15-Jun-24,66006.74,66402.19,65871.78,66191,14121265576,1.30479E+12
14-Jun-24,66747.57,67294.65,65056.89,66011.09,27403884779,1.30122E+12
13-Jun-24,68243.1,68365.78,66304.57,66756.4,28955204146,1.31589E+12
12-Jun-24,67321.37,69977.89,66902.46,68241.18,34497940694,1.34513E+12
11-Jun-24,69508.08,69549.42,66123.6,67332.03,37116136345,1.32718E+12
10-Jun-24,69644.31,70146.07,69232.43,69512.28,20597699541,1.37013E+12
09-Jun-24,69297.49,69817.52,69160.84,69647.99,13534028500,1.37277E+12
08-Jun-24,69324.18,69533.32,69210.74,69305.77,14262185861,1.366E+12
07-Jun-24,70759.18,71907.85,68507.26,69342.59,36188381096,1.36669E+12
06-Jun-24,71082.84,71625.74,70119.12,70757.17,25223152007,1.39455E+12
05-Jun-24,70568.35,71735.41,70390.71,71082.82,32810771409,1.4009E+12
04-Jun-24,68804.57,71047.41,68564.64,70567.77,33149696545,1.39074E+12
03-Jun-24,67753.9,70230.82,66252.03,68804.78,32401285324,1.35596E+12
