Time,Low,High,Open,Close,Volume
02-Jun-2016,531.86,541.2,534.85,537.87,6329.878723
03-Jun-2016,535.96,578,538.06,571.25,10203.72545
04-Jun-2016,564.29,594.64,571.09,576.31,6932.075378
05-Jun-2016,570.22,585,576.31,575.17,4984.249448
06-Jun-2016,575,588.15,575.17,586.77,6791.264535
07-Jun-2016,475,590.95,586.75,579.71,10079.83684
08-Jun-2016,572.96,583.99,579.72,583.21,5661.749173
09-Jun-2016,574,583.48,583.19,577.46,4979.63044
10-Jun-2016,573.5,581,577.47,580.31,5659.486617
11-Jun-2016,580.31,610,580.31,609.5,5542.225259
12-Jun-2016,605,687.71,609.5,677.86,18004.01738
13-Jun-2016,663.55,720,677.45,706.01,15497.40307
14-Jun-2016,650.02,706.45,706.02,684.95,12443.09556
15-Jun-2016,673,699.3,684.99,698.78,7913.035471
16-Jun-2016,698.76,777.68,698.76,769.76,16806.85874
17-Jun-2016,709.01,778.5,769.71,752.26,14007.79895
18-Jun-2016,734.8,785.15,752,758.99,9594.923584
19-Jun-2016,744.77,771.92,759,768.76,5442.638785
20-Jun-2016,701.01,768.94,768.94,703.12,9837.243847
21-Jun-2016,628.6,718.26,706.47,667.66,26110.68887
22-Jun-2016,568.11,679.99,667.88,604.5,15592.43638
23-Jun-2016,544.13,637.89,606.13,631.1,20474.00359
24-Jun-2016,631.01,700,631.1,669.98,19078.84531
25-Jun-2016,650,699,669.98,673.71,7691.563237
26-Jun-2016,625.01,675.19,673.71,638.56,5678.386015
27-Jun-2016,630,659.98,638.56,657.87,6624.339802
28-Jun-2016,638,663.53,657.86,648.43,5696.746777
29-Jun-2016,630.02,648.43,648.43,639.42,6485.126858
30-Jun-2016,635.14,675,639.41,673.49,7764.246468
01-Jul-2016,667,688.99,673.5,678.19,6839.688542
02-Jul-2016,676.92,705.21,678.09,704.95,4977.980469
03-Jul-2016,651,705.25,705.25,663.55,6495.708463
04-Jul-2016,653.16,683.69,664.09,681.98,4327.410769
05-Jul-2016,662.51,682.37,681.98,669.87,5043.811827
06-Jul-2016,665,680.79,669.75,678.79,5668.238078
07-Jul-2016,611.94,683.44,678.79,641.97,12281.48061
08-Jul-2016,638.04,667.33,641.97,667.33,11055.36574
09-Jul-2016,608,667.3,667.07,657.61,9607.695915
10-Jul-2016,641,657.61,657.6,652.44,3705.894148
11-Jul-2016,648.11,664.27,652.43,650.97,4815.437046
12-Jul-2016,648.6,675.5,651.25,666.56,10666.08971
13-Jul-2016,654.86,671.45,666.25,655.34,21882.00923
14-Jul-2016,640,663.99,655.3,661.65,4649.643695
15-Jul-2016,660.68,669.98,661.4,667.48,4725.743612
16-Jul-2016,662.01,669.99,667.48,666.32,2908.029825
17-Jul-2016,665.95,680.99,666.3,680,3944.424024
18-Jul-2016,670,684.94,680,675.5,4547.721785
19-Jul-2016,666.17,676.87,675.51,673.98,3799.771178
20-Jul-2016,664.6,674.99,673.98,666.92,3603.8628
21-Jul-2016,661.19,668.4,667.15,667.28,3967.871808
22-Jul-2016,647.59,669.94,667.27,654.67,7371.964666
23-Jul-2016,653.92,662.35,654.7,657.5,4379.511406
24-Jul-2016,655.01,666.37,657.68,661,3423.08123
25-Jul-2016,653.77,664.13,660.92,657.79,4101.537738
26-Jul-2016,645,658.99,657.99,654.06,6470.740222
27-Jul-2016,646.56,658.99,654.06,657.35,5175.141374
28-Jul-2016,654.1,659.97,657,657.4,3832.988409
29-Jul-2016,651,659,657.4,657,4246.212695
30-Jul-2016,652.95,658.98,657.18,655.87,2980.085415
31-Jul-2016,621.37,657,655.95,626.97,6299.641383
01-Aug-2016,599,629.34,626.97,605.2,7981.717874
02-Aug-2016,483,613.38,604.87,537.47,14839.34616
03-Aug-2016,519.3,576,538.8,573.36,20292.85972
04-Aug-2016,562.11,599.95,573.35,587.5,9514.328375
05-Aug-2016,570.39,592.87,587.5,583,5478.388796
06-Aug-2016,574.5,591.72,583,591.71,3907.872813
07-Aug-2016,587.2,598.65,591.7,595.14,3288.657372
08-Aug-2016,590,595.99,595.14,591.48,3852.030624
09-Aug-2016,585.38,594.04,591.58,586.45,4817.626247
10-Aug-2016,583.29,601.09,586.75,594.94,9439.725977
11-Aug-2016,585.6,599.99,594.94,587.91,5062.582838
12-Aug-2016,583.62,590.09,587.9,587.74,3870.890688
13-Aug-2016,586,589.5,587.68,586.45,2839.704468
14-Aug-2016,565.19,586.49,586.45,574.99,4154.476982
15-Aug-2016,561.56,574.97,574.97,567.79,4403.161735
16-Aug-2016,566.09,581.99,567.85,579.02,4692.461825
17-Aug-2016,569.67,581.99,579.02,574.45,4509.774374
18-Aug-2016,573,576.99,574.45,574.09,3964.99899
19-Aug-2016,572.68,576.99,574.05,573.67,4038.303001
20-Aug-2016,572.38,583.92,573.68,581.87,3581.224253
21-Aug-2016,579.34,583.99,581.72,581.29,2442.633748
22-Aug-2016,579.22,586.99,581.34,585.2,4493.441109
23-Aug-2016,577.47,586.77,585.19,582.39,5092.274625
24-Aug-2016,575.29,582.68,582.39,578.47,3857.023188
25-Aug-2016,573.12,579,578.68,575.58,4109.112561
26-Aug-2016,574.85,579.86,575.57,579.29,3354.183171
27-Aug-2016,568.95,579.45,579.29,570.84,3059.493089
28-Aug-2016,569.65,575.41,570.83,575.41,2587.454261
29-Aug-2016,571.24,577.73,575.41,573.21,4569.562484
30-Aug-2016,572.53,576.83,573.21,574.95,4175.846464
31-Aug-2016,569.21,575.15,574.95,572.89,4439.623837
01-Sep-2016,568.12,573.31,572.89,573.02,5203.400666
02-Sep-2016,570,577.97,572.94,576.21,4827.434599
03-Sep-2016,574.67,600.99,576.41,600.91,4707.904482
04-Sep-2016,597.52,617.13,600.93,611.92,4592.850982
05-Sep-2016,601.63,611.99,611.94,605.69,3010.750032
06-Sep-2016,605.47,612.99,605.93,612.99,4169.697885
07-Sep-2016,609.21,618.53,612.99,615.21,4680.957717
08-Sep-2016,613.43,631.3,615.22,627.97,5225.036773
09-Sep-2016,618.25,628.69,627.97,622.07,4502.865576
10-Sep-2016,620.59,626.54,622.07,623.74,2819.131508
11-Sep-2016,591.8,630.11,623.58,607.94,4289.624776
12-Sep-2016,603,609.45,607.94,606.74,3986.164716
13-Sep-2016,605.16,609.99,606.86,608.63,3888.070523
14-Sep-2016,608,611.99,608.39,608.43,3744.743174
15-Sep-2016,603.33,609.49,608.47,605.44,3965.69195
16-Sep-2016,603.15,608.1,605.43,607.93,4171.005633
17-Sep-2016,604,608.99,607.95,607.92,2942.649088
18-Sep-2016,607.22,611.93,607.92,611.4,3091.455133
19-Sep-2016,607.4,612.46,611.4,608.6,3096.468538
20-Sep-2016,605.6,609.92,608.6,605.6,4601.699676
21-Sep-2016,592.63,605.6,605.6,597,4885.897041
22-Sep-2016,594.78,598.54,597,596.21,3998.40601
23-Sep-2016,595.14,603.3,595.99,602.96,3759.023691
24-Sep-2016,601.08,605.94,602.96,603.68,2646.497598
